,Year,Link
198,1933/34,https://www.espncricinfo.com/ci/engine/series/index.html?season=1933%2F34;view=season
199,1934,https://www.espncricinfo.com/ci/engine/series/index.html?season=1934;view=season
200,1934/35,https://www.espncricinfo.com/ci/engine/series/index.html?season=1934%2F35;view=season
201,1935,https://www.espncricinfo.com/ci/engine/series/index.html?season=1935;view=season
202,1935/36,https://www.espncricinfo.com/ci/engine/series/index.html?season=1935%2F36;view=season
203,1936,https://www.espncricinfo.com/ci/engine/series/index.html?season=1936;view=season
204,1936/37,https://www.espncricinfo.com/ci/engine/series/index.html?season=1936%2F37;view=season
205,1937,https://www.espncricinfo.com/ci/engine/series/index.html?season=1937;view=season
206,1937/38,https://www.espncricinfo.com/ci/engine/series/index.html?season=1937%2F38;view=season
207,1938,https://www.espncricinfo.com/ci/engine/series/index.html?season=1938;view=season
208,1938/39,https://www.espncricinfo.com/ci/engine/series/index.html?season=1938%2F39;view=season
209,1939,https://www.espncricinfo.com/ci/engine/series/index.html?season=1939;view=season
210,1939/40,https://www.espncricinfo.com/ci/engine/series/index.html?season=1939%2F40;view=season
211,1940/41,https://www.espncricinfo.com/ci/engine/series/index.html?season=1940%2F41;view=season
212,1941/42,https://www.espncricinfo.com/ci/engine/series/index.html?season=1941%2F42;view=season
213,1942,https://www.espncricinfo.com/ci/engine/series/index.html?season=1942;view=season
214,1943/44,https://www.espncricinfo.com/ci/engine/series/index.html?season=1943%2F44;view=season
215,1944,https://www.espncricinfo.com/ci/engine/series/index.html?season=1944;view=season
216,1944/45,https://www.espncricinfo.com/ci/engine/series/index.html?season=1944%2F45;view=season
217,1945,https://www.espncricinfo.com/ci/engine/series/index.html?season=1945;view=season
218,1945/46,https://www.espncricinfo.com/ci/engine/series/index.html?season=1945%2F46;view=season
219,1946,https://www.espncricinfo.com/ci/engine/series/index.html?season=1946;view=season
220,1946/47,https://www.espncricinfo.com/ci/engine/series/index.html?season=1946%2F47;view=season
221,1947,https://www.espncricinfo.com/ci/engine/series/index.html?season=1947;view=season
222,1947/48,https://www.espncricinfo.com/ci/engine/series/index.html?season=1947%2F48;view=season
223,1948,https://www.espncricinfo.com/ci/engine/series/index.html?season=1948;view=season
224,1948/49,https://www.espncricinfo.com/ci/engine/series/index.html?season=1948%2F49;view=season
225,1949,https://www.espncricinfo.com/ci/engine/series/index.html?season=1949;view=season
226,1949/50,https://www.espncricinfo.com/ci/engine/series/index.html?season=1949%2F50;view=season
227,1950,https://www.espncricinfo.com/ci/engine/series/index.html?season=1950;view=season
228,1950/51,https://www.espncricinfo.com/ci/engine/series/index.html?season=1950%2F51;view=season
229,1951,https://www.espncricinfo.com/ci/engine/series/index.html?season=1951;view=season
230,1951/52,https://www.espncricinfo.com/ci/engine/series/index.html?season=1951%2F52;view=season
231,1952,https://www.espncricinfo.com/ci/engine/series/index.html?season=1952;view=season
232,1952/53,https://www.espncricinfo.com/ci/engine/series/index.html?season=1952%2F53;view=season
233,1953,https://www.espncricinfo.com/ci/engine/series/index.html?season=1953;view=season
234,1953/54,https://www.espncricinfo.com/ci/engine/series/index.html?season=1953%2F54;view=season
235,1954,https://www.espncricinfo.com/ci/engine/series/index.html?season=1954;view=season
